SEQKEY;Response;Picture Option;Marketing Segment;CHANNEL;Zip3 (not in original)
UB14251532;N;A;35;Email;585
UB14258461;N;A;35;Direct Mail;631
UB14262661;N;A;35;Email;38
UB14264451;N;A;32;Direct Mail;606
UB14268924;N;A;13;Email;480
UB14269492;N;A;13;Email;18
UB14271340;N;A;13;Direct Mail;601
UB14272934;N;A;13;Email;481
UB14275630;N;A;13;Web;331
UB14280432;N;A;31;Email;945
UB14280556;N;A;31;Web;604
UB14283212;N;A;35;Direct Mail;331
UB14287841;N;A;35;Web;38
UB14288385;N;A;13;Email;850
UB14288989;N;A;32;Email;40
UB14292551;N;A;54;Web;331
UB14294698;N;A;35;Direct Mail;32
UB14300669;N;A;35;Email;64
UB14307334;N;A;35;Direct Mail;631
UB14310437;N;A;13;Email;631
UB14310650;N;A;13;Email;60
UB14312631;Y;A;13;Direct Mail;191
UB14314017;N;A;13;Email;600
UB14316046;N;A;13;Web;917
UB14316137;N;A;13;Web;303
UB14325096;N;A;13;Web;945
UB14327977;N;A;13;Email;275
UB14340517;N;A;35;Email;741
UB14349260;Y;A;35;Email;606
UB14357982;N;A;35;Email;331
UB14360564;N;A;13;Web;275
UB14367445;N;A;35;Email;38
UB14369706;N;A;13;Email;503
UB14372197;N;A;7;Email;917
UB14375497;Y;A;7;Email;352
UB14377857;N;A;13;Direct Mail;32
UB14378053;N;A;35;Email;982
UB14387377;N;A;13;Email;201
UB14395420;N;A;13;Email;234
UB14399265;N;A;13;Web;441
UB14400287;N;A;13;Email;832
UB14406730;N;A;35;Direct Mail;982
UB14407332;N;A;13;Email;604
UB14411326;N;A;35;Direct Mail;100
UB14412506;N;A;13;Email;770
UB14421317;N;A;13;Email;604
UB14421515;Y;A;35;Direct Mail;191
UB14423198;N;A;35;Email;980
UB14430730;N;A;13;Email;395
UB14432249;N;A;13;Email;295
UB14432603;N;A;13;Direct Mail;303
UB14432801;N;A;13;Web;630
UB14432892;N;A;13;Direct Mail;917
UB14433742;N;A;13;Email;917
UB14440580;N;A;35;Direct Mail;900
UB14448575;N;A;13;Direct Mail;900
UB14452841;Y;A;13;Direct Mail;275
UB14456339;N;A;13;Direct Mail;32
UB14456883;N;A;35;Email;68
UB14458178;N;A;13;Web;926
UB14458350;N;A;35;Email;117
UB14459119;N;A;13;Direct Mail;890
UB14461776;N;A;35;Direct Mail;770
UB14466288;N;A;54;Email;503
UB14469084;N;A;13;Web;900
UB14486963;N;A;13;Email;750
UB14487342;N;A;35;Direct Mail;604
UB14490007;N;A;54;Email;191
UB14499974;N;A;35;Direct Mail;972
UB14508659;N;A;13;Direct Mail;38
UB14508782;N;A;13;Web;945
UB14514251;N;A;31;Email;44
UB14521066;Y;A;13;Web;117
UB14525224;N;A;54;Email;750
UB14526727;N;A;13;Email;801
UB14532634;N;A;13;Email;480
UB14532642;N;A;13;Email;530
UB14540926;Y;A;1;Web;550
UB14551113;N;A;35;Email;32
UB14553879;N;A;35;Direct Mail;32
UB14560858;N;A;35;Email;32
UB14567861;N;A;35;Email;21
UB14568810;Y;A;35;Email;32
UB14569834;N;A;1;Email;700
UB14583959;N;A;35;Email;945
UB14589790;N;A;1;Web;945
UB14589808;Y;A;1;Web;857
UB14595789;N;A;35;Email;32
UB14596308;N;A;1;Direct Mail;532
UB14596639;N;A;35;Direct Mail;441
UB14605604;N;A;35;Web;980
UB14607543;N;A;35;Email;782
UB14608798;N;A;54;Web;21
UB14615629;N;A;35;Direct Mail;117
UB14619266;N;A;54;Direct Mail;770
UB14620660;N;A;13;Email;331
UB14624043;N;A;13;Direct Mail;531
UB14624621;N;A;35;Email;553
UB14625362;N;A;13;Web;32
UB14632483;N;A;54;Web;191
UB14634505;N;A;13;Email;32
UB14661037;N;A;7;Email;300
UB14661979;N;A;13;Email;300
UB14662183;N;A;13;Email;945
UB14685267;Y;A;54;Email;800
UB14689673;N;A;35;Direct Mail;295
UB14691455;N;A;35;Email;900
UB14694889;N;A;35;Direct Mail;600
UB14705586;N;A;35;Email;482
UB14706048;N;A;31;Email;191
UB14709257;N;A;35;Email;630
UB14712756;N;A;13;Email;300
UB14713937;Y;A;13;Direct Mail;836
UB14714265;N;A;13;Email;191
UB14716351;N;A;31;Email;152
UB14726319;N;A;13;Email;553
UB14729768;N;A;13;Direct Mail;117
UB14730329;N;A;13;Email;581
UB14736979;N;A;13;Direct Mail;331
UB14738595;N;A;13;Web;770
UB14744148;N;A;35;Email;32
UB14749105;N;A;13;Web;853
UB14749204;N;A;13;Direct Mail;29
UB14752695;N;A;13;Direct Mail;410
UB14761753;N;A;54;Web;840
UB14767602;N;A;13;Email;331
UB14768956;N;A;31;Direct Mail;900
UB14771968;N;A;35;Web;452
UB14782296;N;A;35;Email;926
UB14792931;N;A;7;Email;782
UB14792956;N;A;7;Email;441
UB14803027;N;A;35;Direct Mail;117
UB14806319;N;A;35;Email;917
UB14811178;N;A;35;Direct Mail;32
UB14817811;N;A;35;Direct Mail;482
UB14819452;N;A;7;Email;21
UB14821631;N;A;13;Email;731
UB14822118;N;A;13;Email;441
UB14822688;N;A;54;Web;265
UB14830624;N;A;13;Direct Mail;200
UB14832224;N;A;13;Web;782
UB14839294;N;A;13;Web;900
UB14845440;N;A;31;Email;381
UB14848972;N;A;31;Email;410
UB14858286;N;A;13;Web;32
UB14861488;N;A;13;Web;532
UB14864805;N;A;13;Email;530
UB14871867;N;A;13;Email;945
UB14873558;N;A;13;Email;152
UB14877989;N;A;1;Direct Mail;945
UB14878060;N;A;1;Web;750
UB14883011;N;A;35;Web;481
UB14885974;N;A;35;Email;900
UB14902605;N;A;1;Email;331
UB14904437;N;A;1;Web;18
UB14904577;N;A;35;Web;917
UB14909774;N;A;13;Web;191
UB14911598;N;A;13;Email;841
UB14912570;N;A;35;Web;100
UB14913396;N;A;35;Direct Mail;850
UB14914584;N;A;35;Email;201
UB14921688;N;A;35;Email;32
UB14922272;N;A;35;Email;926
UB14925788;N;A;35;Direct Mail;38
UB14930606;N;A;35;Email;191
UB14933485;N;A;13;Email;331
UB14935555;N;A;35;Email;60
UB14938773;N;A;35;Email;201
UB14943898;N;A;13;Web;191
UB14947261;N;A;13;Direct Mail;100
UB14953137;N;A;13;Web;152
UB14977466;N;A;13;Email;945
UB14987390;N;A;13;Web;750
UB14992523;N;A;13;Web;685
UB14999098;N;A;13;Direct Mail;945
UB15001217;N;A;35;Email;331
UB15002033;N;A;13;Email;480
UB15002199;N;A;35;Web;604
UB15002470;N;A;13;Email;482
UB15003981;N;A;35;Email;410
UB15019441;N;A;13;Web;220
UB15020787;Y;A;35;Web;631
UB15025547;N;A;13;Email;381
UB15026388;Y;A;35;Web;782
UB15036908;N;A;13;Direct Mail;32
UB15042245;N;A;35;Email;481
UB15043060;N;A;13;Web;606
UB15046295;N;A;13;Web;681
UB15048937;N;A;13;Direct Mail;945
UB15054968;N;A;13;Email;800
UB15055189;N;A;13;Web;500
UB15057169;N;A;10;Direct Mail;900
UB15060379;N;A;13;Email;945
UB15066897;N;A;35;Direct Mail;32
UB15070253;N;A;13;Email;21
UB15070311;N;A;35;Email;571
UB15070782;N;A;13;Direct Mail;681
UB15071269;N;A;13;Email;601
UB15074560;N;A;10;Web;782
UB15083785;N;A;13;Email;553
UB15084346;N;A;35;Web;480
UB15085699;N;A;13;Email;945
UB15088834;N;A;13;Web;853
UB15088867;N;A;13;Web;604
UB15089428;N;A;13;Email;331
UB15089600;N;A;13;Email;112
UB15096282;N;A;35;Direct Mail;945
UB15098577;N;A;32;Web;331
UB15102213;N;A;33;Email;117
UB15104060;N;A;33;Email;32
UB15105539;N;A;7;Email;220
UB15106073;Y;A;35;Email;441
UB15107238;N;A;32;Email;532
UB15107600;N;A;35;Direct Mail;191
UB15114002;N;A;7;Email;981
UB15136286;N;A;13;Email;331
UB15138555;N;A;33;Web;32
UB15141534;N;A;13;Email;463
UB15142367;N;A;35;Email;441
UB15144611;N;A;35;Direct Mail;220
UB15151566;N;A;35;Direct Mail;782
UB15164452;N;A;10;Email;750
UB15168990;N;A;35;Email;480
UB15170962;N;A;35;Web;981
UB15173024;N;A;32;Direct Mail;680
UB15178916;N;A;35;Direct Mail;32
UB15188576;N;A;32;Email;630
UB15190762;N;A;13;Email;331
UB15194681;N;A;13;Email;152
UB15194913;N;A;13;Web;481
UB15197551;N;A;10;Web;782
UB15203136;N;A;13;Direct Mail;331
UB15204738;N;A;13;Web;381
UB15208523;N;A;13;Direct Mail;191
UB15240443;N;A;2;Email;117
UB15243694;N;A;35;Web;275
UB15244106;N;A;2;Email;112
UB15245665;N;A;2;Direct Mail;100
UB15252182;N;A;35;Email;441
UB15252240;N;A;35;Direct Mail;200
UB15252331;N;A;13;Web;581
UB15253784;N;A;35;Direct Mail;606
UB15255367;N;A;13;Email;32
UB15255409;N;A;13;Web;900
UB15257009;Y;A;13;Direct Mail;945
UB15258783;N;A;13;Direct Mail;112
UB15260763;N;A;13;Direct Mail;410
UB15267495;N;A;35;Email;117
UB15270069;N;A;2;Email;64
UB15272123;N;A;33;Direct Mail;32
UB15272545;N;A;35;Web;441
UB15273386;N;A;56;Email;38
UB15276918;N;A;2;Direct Mail;117
UB15296163;N;A;2;Email;117
UB15301138;N;A;1;Direct Mail;38
UB15310444;N;A;9;Web;117
UB15316029;N;A;13;Direct Mail;452
UB15321334;N;A;13;Web;300
UB15323033;N;A;13;Email;68
UB15332315;N;A;13;Email;352
UB15338825;N;A;32;Email;32
UB15339179;N;A;35;Web;631
UB15364284;N;A;10;Web;945
UB15364896;N;A;1;Web;532
UB15367113;N;A;13;Email;782
UB15368095;N;A;35;Email;331
UB15375306;N;A;7;Web;463
UB15384027;N;A;35;Web;38
UB15389760;N;A;13;Email;531
UB15394273;N;A;35;Email;100
UB15395148;N;A;32;Email;532
UB15397292;N;A;2;Direct Mail;112
UB15399082;N;A;2;Direct Mail;117
UB15400096;N;A;35;Direct Mail;840
UB15409345;Y;A;2;Direct Mail;32
UB15412208;N;A;1;Web;482
UB15415755;Y;A;1;Email;606
UB15419146;N;A;1;Email;701
UB15420771;N;A;1;Web;480
UB15421878;N;A;2;Direct Mail;32
UB15432263;N;A;2;Email;32
UB15436934;N;A;35;Web;275
UB15449648;N;A;2;Email;117
UB15450323;N;A;13;Web;201
UB15453731;N;A;13;Web;801
UB15453798;N;A;13;Direct Mail;286
UB15455827;N;A;1;Email;853
UB15469489;N;A;13;Email;532
UB15471600;N;A;1;Email;875
UB15478522;Y;A;1;Email;782
UB15485618;N;A;35;Email;180
UB15485865;N;A;35;Email;64
UB15492259;N;A;35;Email;152
UB15492556;N;A;1;Web;462
UB15495062;N;A;2;Web;104
UB15496722;N;A;2;Web;112
UB15504236;N;A;35;Email;880
UB15510290;N;A;13;Email;972
UB15511298;N;A;35;Email;352
UB15517766;N;A;2;Direct Mail;32
UB15519150;N;A;32;Web;21
UB15524408;N;A;7;Email;606
UB15527583;N;A;13;Email;801
UB15534746;N;A;13;Email;481
UB15543168;N;A;1;Direct Mail;301
UB15547888;N;A;13;Email;331
UB15550023;N;A;1;Email;331
UB15567068;N;A;10;Email;945
UB15568975;N;A;13;Email;283
UB15570716;N;A;13;Web;38
UB15570872;N;A;32;Direct Mail;601
UB15573231;N;A;7;Direct Mail;553
UB15577075;N;A;31;Direct Mail;21
UB15585227;N;A;7;Direct Mail;981
UB15589708;N;A;35;Email;38
UB15591472;N;A;35;Email;630
UB15595978;N;A;7;Web;152
UB15602352;Y;A;35;Direct Mail;201
UB15602394;N;A;7;Email;551
UB15603491;N;A;33;Email;32
UB15613847;N;A;33;Email;112
UB15615834;N;A;35;Email;117
UB15633274;N;A;35;Email;752
UB15635451;N;A;32;Direct Mail;441
UB15639149;N;A;32;Web;210
UB15639362;N;A;31;Email;112
UB15644701;Y;A;7;Web;750
UB15646771;N;A;13;Email;275
UB15649213;N;A;7;Direct Mail;500
UB15650773;N;A;35;Email;480
UB15651896;Y;A;10;Direct Mail;917
UB15655244;Y;A;10;Direct Mail;770
UB15656275;N;A;32;Web;870
UB15656960;N;A;10;Email;750
UB15659303;N;A;35;Direct Mail;482
UB15660038;N;A;7;Web;152
UB15662786;N;A;35;Web;32
UB15665532;N;A;54;Email;331
UB15669476;N;A;13;Direct Mail;800
UB15670250;N;A;32;Web;482
UB15672546;N;A;10;Email;945
UB15682883;N;A;32;Email;681
UB15685837;N;A;7;Email;782
UB15687908;N;A;31;Direct Mail;452
UB15691314;N;A;31;Direct Mail;283
UB15692270;N;A;35;Direct Mail;31
UB15704430;N;A;13;Email;191
UB15710049;N;A;7;Email;21
UB15715402;N;A;32;Direct Mail;64
UB15716335;N;A;13;Web;21
UB15720063;N;A;13;Email;705
UB15724073;N;A;7;Direct Mail;752
UB15733173;N;A;54;Email;331
UB15737299;N;A;13;Web;301
UB15740517;N;A;35;Direct Mail;531
UB15763626;N;A;7;Web;234
UB15764384;N;A;10;Email;770
UB15764400;N;A;10;Email;750
UB15776180;Y;A;35;Web;331
UB15787328;N;A;35;Direct Mail;900
UB15790942;N;A;35;Direct Mail;432
UB15795727;N;A;10;Web;331
UB15799786;N;A;13;Email;18
UB15802465;N;A;31;Web;601
UB15812506;N;A;13;Web;604
UB15815632;N;A;13;Web;601
UB15830979;N;A;13;Direct Mail;631
UB15832900;N;A;13;Direct Mail;331
UB15840184;N;A;35;Email;462
UB15842206;N;A;32;Direct Mail;300
UB15842909;N;A;35;Direct Mail;191
UB15853518;Y;A;13;Direct Mail;38
UB15857915;N;A;7;Web;750
UB15858731;N;A;13;Web;300
UB15859044;N;A;35;Email;31
UB15862725;N;A;13;Email;28
UB15865579;N;A;35;Email;462
UB15869662;N;A;13;Web;331
UB15871106;N;A;35;Direct Mail;530
UB15871734;Y;A;7;Web;900
UB15882772;N;A;35;Web;32
UB15884356;N;A;35;Web;301
UB15884455;N;A;35;Email;809
UB15886229;N;A;35;Email;900
UB15887110;N;A;13;Web;352
UB15888027;N;A;13;Email;197
UB15889777;N;A;35;Web;191
UB15897515;N;A;35;Web;331
UB15899883;N;A;35;Email;32
UB15904741;N;A;54;Direct Mail;28
UB15907785;Y;A;13;Direct Mail;900
UB15912884;N;A;35;Email;331
UB15918287;N;A;35;Web;38
UB15920853;N;A;13;Email;207
UB15920952;N;A;13;Direct Mail;207
UB15925316;N;A;13;Web;900
UB15925712;N;A;10;Direct Mail;750
UB15926447;N;A;13;Email;234
UB15932668;N;A;10;Direct Mail;945
UB15933559;N;A;13;Direct Mail;331
UB15936347;N;A;13;Email;301
UB15937782;N;A;10;Direct Mail;900
UB15943475;N;A;35;Web;38
UB15950314;N;A;35;Web;210
UB15954746;N;A;35;Direct Mail;900
UB15959109;N;A;35;Web;631
UB15960586;N;A;33;Email;117
UB15963267;N;A;13;Email;21
UB15977051;N;A;13;Direct Mail;604
UB15978083;N;A;13;Direct Mail;852
UB15980469;N;A;13;Email;462
UB15990070;N;A;13;Direct Mail;770
UB15994429;N;A;13;Email;265
UB15999592;N;A;13;Email;970
UB16001737;N;A;54;Web;601
UB16005720;N;A;35;Web;295
UB16015471;N;A;35;Email;21
UB16018798;N;A;35;Web;60
UB16020497;N;A;35;Direct Mail;982
UB16027484;N;A;54;Direct Mail;972
UB16029480;N;A;35;Web;660
UB16029712;N;A;35;Web;38
UB16032914;N;A;31;Email;112
UB16033425;N;A;2;Web;32
UB16038168;N;A;31;Email;551
UB16042624;N;A;54;Email;432
UB16043846;N;A;2;Direct Mail;117
UB16044950;N;A;31;Email;730
UB16049603;N;A;54;Web;54
UB16051203;N;A;31;Direct Mail;531
UB16059958;N;A;54;Email;32
UB16061442;N;A;2;Direct Mail;117
UB16072928;N;A;54;Email;945
UB16078024;N;A;54;Web;662
UB16083909;Y;A;2;Email;38
UB16090011;N;A;10;Direct Mail;900
UB16091183;N;A;31;Direct Mail;550
UB16094872;N;A;31;Email;201
UB16097198;N;A;10;Email;750
UB16098279;N;A;7;Direct Mail;800
UB16112690;N;A;32;Email;117
UB16122228;N;A;35;Direct Mail;917
UB16127383;N;A;35;Email;212
UB16129603;N;A;2;Direct Mail;38
UB16131443;N;A;32;Direct Mail;503
UB16136079;N;A;13;Email;18
UB16136756;N;A;32;Direct Mail;585
UB16140808;N;A;33;Email;112
UB16145799;N;A;35;Direct Mail;532
UB16145807;N;A;35;Email;553
UB16157661;N;A;35;Web;265
UB16163917;N;A;13;Email;152
UB16163933;N;A;13;Email;482
UB16168494;N;A;33;Web;112
UB16169153;N;A;13;Email;782
UB16174898;N;A;35;Direct Mail;21
UB16191603;N;A;1;Web;945
UB16191843;N;A;13;Email;685
UB16196628;N;A;10;Email;945
UB16197196;N;A;13;Email;68
UB16199242;Y;A;2;Web;112
UB16201063;N;A;2;Direct Mail;32
UB16202343;N;A;13;Web;980
UB16214231;N;A;31;Direct Mail;441
UB16217366;N;A;13;Direct Mail;234
UB16218232;N;A;13;Direct Mail;601
UB16218687;N;A;13;Email;331
UB16227134;Y;A;2;Direct Mail;117
UB16228421;N;A;7;Email;38
UB16242703;N;A;2;Direct Mail;38
UB16254336;N;A;1;Email;891
UB16254682;N;A;35;Direct Mail;32
UB16256323;N;A;35;Email;840
UB16257123;N;A;35;Direct Mail;303
UB16260754;N;A;13;Direct Mail;630
UB16262446;N;A;13;Direct Mail;531
UB16263626;N;A;2;Email;112
UB16264913;N;A;31;Web;432
UB16266009;N;A;35;Direct Mail;38
UB16277840;N;A;35;Web;600
UB16278095;N;A;13;Web;752
UB16278640;N;A;33;Email;64
UB16282824;N;A;2;Email;32
UB16283228;N;A;35;Email;481
UB16289647;N;A;13;Direct Mail;117
UB16292906;N;A;1;Direct Mail;331
UB16309239;N;A;13;Web;782
UB16309296;N;A;13;Email;410
UB16314288;N;A;2;Direct Mail;112
UB16316044;N;A;2;Email;100
UB16318016;N;A;13;Web;752
UB16318958;N;A;31;Direct Mail;481
UB16320723;N;A;31;Direct Mail;152
UB16321077;Y;A;13;Web;234
UB16321358;N;A;2;Direct Mail;100
UB16322562;N;A;31;Email;752
UB16324048;N;A;10;Direct Mail;945
UB16328213;N;A;2;Email;117
UB16336604;N;A;13;Email;64
UB16338576;N;A;13;Direct Mail;234
UB16343568;Y;A;2;Email;117
UB16343717;N;A;13;Email;462
UB16353799;N;A;2;Email;112
UB16354300;Y;A;13;Email;481
UB16360851;N;A;2;Direct Mail;117
UB16362220;N;A;35;Email;800
UB16367559;N;A;35;Direct Mail;100
UB16367930;Y;A;2;Web;117
UB16376923;N;A;35;Direct Mail;18
UB16385304;N;A;2;Web;38
UB16387904;N;A;33;Email;100
UB16389116;N;A;35;Email;331
UB16390031;N;A;32;Direct Mail;945
UB16390726;N;A;35;Web;331
UB16401168;N;A;35;Email;481
UB16418600;N;A;57;Email;331
UB16427999;N;A;13;Email;462
UB16428120;N;A;13;Web;700
UB16430415;N;A;13;Web;462
UB16436792;N;A;13;Email;18
UB16441842;N;A;13;Direct Mail;853
UB16446908;N;A;13;Email;750
UB16470015;Y;A;2;Email;117
UB16480477;N;A;2;Direct Mail;32
UB16480709;N;A;2;Direct Mail;117
UB16481699;N;A;13;Email;410
UB16483448;N;A;13;Email;917
UB16484206;N;A;35;Email;201
UB16486748;N;A;31;Web;532
UB16488868;N;A;35;Email;480
UB16490013;N;A;31;Web;152
UB16491193;N;A;13;Direct Mail;462
UB16492100;N;A;13;Email;18
UB16493066;N;A;13;Web;64
UB16494965;N;A;33;Email;117
UB16496432;N;A;13;Web;570
UB16497976;N;A;2;Direct Mail;38
UB16503518;N;A;35;Email;871
UB16511727;N;A;35;Direct Mail;201
UB16525016;N;A;7;Direct Mail;370
UB16530164;N;A;13;Email;553
UB16533069;N;A;34;Email;331
UB16536559;N;A;34;Email;331
UB16540544;N;A;1;Email;331
UB16547879;N;A;13;Email;255
UB16549610;N;A;13;Web;38
UB16553349;N;A;13;Direct Mail;550
UB16554818;N;A;54;Email;207
UB16556300;Y;A;54;Email;945
UB16566119;N;A;13;Web;38
UB16568503;N;A;1;Email;201
UB16581118;N;A;35;Direct Mail;631
UB16583312;N;A;2;Direct Mail;38
UB16589673;N;A;2;Email;117
UB16592545;N;A;31;Web;970
UB16593790;N;A;1;Web;601
UB16599110;N;A;1;Email;441
UB16603094;N;A;35;Web;32
UB16607038;N;A;2;Email;117
UB16611733;N;A;31;Email;571
UB16614034;N;A;2;Email;117
UB16616112;N;A;13;Email;917
UB16619314;N;A;2;Email;117
UB16620361;Y;A;1;Web;782
UB16624611;N;A;13;Web;917
UB16636763;N;A;2;Direct Mail;117
UB16639304;N;A;1;Direct Mail;782
UB16640955;Y;A;1;Web;28
UB16653925;Y;A;13;Email;721
UB16656928;N;A;13;Direct Mail;750
UB16657520;N;A;2;Direct Mail;32
UB16661613;N;A;34;Web;900
UB16670465;N;A;34;Email;752
UB16672180;N;A;34;Email;926
UB16675381;N;A;13;Web;32
UB16676538;N;A;13;Direct Mail;331
UB16677924;N;A;35;Direct Mail;700
UB16681454;N;A;35;Direct Mail;28
UB16683906;N;A;54;Direct Mail;531
UB16688111;N;A;7;Email;481
UB16691610;N;A;32;Email;152
UB16692766;N;A;13;Email;551
UB16694291;N;A;31;Web;441
UB16703522;N;A;59;Email;64
UB16703787;N;A;35;Web;481
UB16704132;N;A;13;Email;870
UB16707077;N;A;35;Web;972
UB16711491;N;A;57;Email;331
UB16712374;N;A;35;Direct Mail;38
UB16712853;Y;A;13;Direct Mail;700
UB16712853;N;A;13;Web;700
UB16713844;N;A;35;Email;945
UB16714693;N;A;13;Email;604
UB16716078;N;A;7;Email;410
UB16729998;N;A;32;Web;152
UB16730186;N;A;13;Direct Mail;480
UB16731788;N;A;32;Email;32
UB16736795;N;A;7;Email;191
UB16737991;N;A;59;Direct Mail;32
UB16743338;N;A;35;Email;191
UB16745705;N;A;35;Direct Mail;208
UB16753048;N;A;57;Direct Mail;782
UB16755563;N;A;35;Web;21
UB16757445;N;A;35;Direct Mail;606
UB16766594;N;A;35;Direct Mail;275
UB16766651;N;A;35;Direct Mail;32
UB16770406;N;A;57;Email;770
UB16770687;N;A;1;Email;604
UB16779902;N;A;13;Direct Mail;191
UB16787319;Y;A;13;Web;30
UB16794042;N;A;7;Email;191
UB16795528;N;A;13;Web;945
UB16798498;N;A;13;Email;875
UB16798985;N;A;13;Direct Mail;631
UB16807497;N;A;13;Email;283
UB16811325;N;A;7;Email;740
UB16822181;N;A;13;Web;770
UB16824609;N;A;13;Email;331
UB16828493;N;A;35;Web;604
UB16829871;Y;A;13;Direct Mail;945
UB16835845;N;A;35;Email;38
UB16836827;N;A;13;Email;234
UB16840688;N;A;35;Direct Mail;210
UB16841926;N;A;13;Email;801
UB16849192;N;A;35;Email;112
UB16850406;N;A;54;Email;531
UB16853236;N;A;35;Email;701
UB16854390;N;A;35;Direct Mail;117
UB16874794;N;A;59;Email;60
UB16878266;N;A;59;Email;117
UB16884595;N;A;34;Direct Mail;331
UB16891871;N;A;31;Web;152
UB16894743;N;A;35;Direct Mail;32
UB16900078;N;A;35;Email;850
UB16902496;N;A;35;Web;945
UB16905176;N;A;35;Web;891
UB16909954;N;A;13;Direct Mail;32
UB16910267;N;A;6;Email;32
UB16913006;N;A;59;Email;117
UB16913923;N;A;13;Email;331
UB16915159;N;A;13;Direct Mail;731
UB16916702;N;A;13;Direct Mail;286
UB16922296;N;A;13;Direct Mail;604
UB16925539;N;A;13;Direct Mail;750
UB16926503;N;A;54;Email;598
UB16928004;Y;A;57;Direct Mail;945
UB16928426;N;A;54;Web;604
UB16950511;N;A;57;Email;770
UB16957573;N;A;57;Email;782
UB16960577;N;A;35;Email;782
UB16976631;N;A;57;Email;926
UB16977167;N;A;13;Email;410
UB16977712;N;A;13;Web;705
UB16981730;N;A;57;Direct Mail;917
UB16989394;N;A;59;Email;38
UB16999328;N;A;57;Direct Mail;945
UB17007535;N;A;35;Email;208
UB17009382;N;A;35;Email;410
UB17014788;N;A;57;Web;331
UB17022419;N;A;35;Email;32
UB17034166;N;A;31;Web;191
UB17034588;N;A;35;Email;481
UB17039009;N;A;35;Direct Mail;900
UB17039801;N;A;35;Email;117
UB17047598;N;A;1;Email;530
UB17051327;N;A;57;Email;945
UB17055989;Y;A;13;Email;452
UB17056284;N;A;1;Email;201
UB17059429;N;A;13;Email;31
UB17069964;N;A;13;Email;100
UB17070731;N;A;54;Email;531
UB17073024;N;A;57;Web;782
UB17080516;N;A;1;Web;38
UB17081787;N;A;56;Email;117
UB17083544;N;A;56;Direct Mail;117
UB17083767;N;A;13;Direct Mail;32
UB17084237;N;A;56;Email;38
UB17085432;N;A;13;Email;551
UB17085606;N;A;13;Email;801
UB17090671;N;A;13;Web;432
UB17096348;N;A;1;Email;503
UB17098393;N;A;56;Direct Mail;112
UB17111550;N;A;34;Email;331
UB17112996;N;A;1;Direct Mail;945
UB17115841;N;A;56;Direct Mail;32
UB17116336;N;A;13;Direct Mail;532
UB17118779;N;A;1;Email;802
UB17124116;N;A;54;Direct Mail;531
UB17130261;N;A;13;Web;303
UB17130386;N;A;32;Direct Mail;770
UB17135955;N;A;34;Email;945
UB17137290;N;A;32;Email;750
UB17141383;N;A;31;Web;28
UB17153495;N;A;31;Web;286
UB17162553;N;A;13;Direct Mail;681
UB17164187;N;A;13;Web;481
UB17171778;N;A;13;Email;191
UB17172677;N;A;1;Direct Mail;600
UB17173618;N;A;13;Email;42
UB17176660;N;A;34;Direct Mail;900
UB17181108;N;A;57;Direct Mail;750
UB17181918;N;A;57;Email;900
UB17185489;N;A;57;Email;752
UB17187154;N;A;57;Direct Mail;331
UB17199076;N;A;13;Direct Mail;32
UB17200544;N;A;13;Web;982
UB17203126;N;A;13;Email;853
UB17204728;N;A;13;Direct Mail;394
UB17209800;Y;A;13;Email;38
UB17213323;N;A;13;Web;945
UB17216987;N;A;13;Direct Mail;601
UB17223728;N;A;13;Direct Mail;191
UB17224205;Y;A;54;Direct Mail;974
UB17255761;N;A;54;Direct Mail;152
UB17257064;N;A;31;Direct Mail;30
UB17258138;N;A;57;Email;782
UB17278300;N;A;7;Email;900
UB17289661;N;A;13;Email;152
UB17293150;N;A;13;Email;705
UB17293440;N;A;32;Email;21
UB17298506;N;A;32;Direct Mail;481
UB17309972;N;A;59;Email;117
UB17322256;N;A;33;Email;32
UB17333055;N;A;13;Email;265
UB17333717;N;A;31;Direct Mail;191
UB17340498;N;A;31;Web;606
UB17344060;N;A;1;Email;900
UB17346313;N;A;13;Web;972
UB17347667;N;A;1;Web;631
UB17348541;N;A;13;Email;604
UB17348681;N;A;13;Email;681
UB17349564;N;A;7;Email;685
UB17350000;Y;A;34;Direct Mail;945
UB17350513;N;A;13;Email;100
UB17355223;N;A;34;Direct Mail;331
UB17358862;N;A;34;Web;900
UB17365289;N;A;7;Email;28
UB17369422;Y;A;13;Direct Mail;201
UB17373515;N;A;1;Direct Mail;850
UB17375874;N;A;13;Direct Mail;331
UB17378068;N;A;13;Direct Mail;945
UB17383449;N;A;13;Email;945
UB17384728;N;A;34;Email;331
UB17388315;N;A;57;Direct Mail;752
UB17389701;N;A;35;Email;191
UB17392069;N;A;13;Web;191
UB17394206;N;A;13;Email;18
UB17394776;N;A;7;Email;32
UB17395484;Y;A;13;Email;38
UB17400821;N;A;13;Web;740
UB17401449;N;A;31;Direct Mail;18
UB17401936;N;A;35;Web;18
UB17406604;N;A;31;Email;199
UB17412347;N;A;35;Direct Mail;981
UB17413790;N;A;35;Web;630
UB17422528;Y;A;13;Direct Mail;152
UB17422767;N;A;59;Email;283
UB17424193;N;A;13;Direct Mail;980
UB17429622;N;A;59;Email;32
UB17435785;N;A;1;Email;331
UB17440686;N;A;13;Email;64
UB17441189;N;A;1;Direct Mail;850
UB17448093;N;A;31;Web;601
UB17470329;N;A;13;Direct Mail;973
